,Source,Destination,Flow_Path,Total_Measured_Latency_ms,Total_Geo_Latency_ms,Delta_Latency_ms,Representative_Flow_ID,Occurrence_Count,Multiple_Paths
19,DK_AKRON_OH,UURWMEA110,"DK_AKRON_OH -> UJEWMEC040 ->(0.5, N/A)-> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",3.385,0.64,0.0,1:Nqzfge0vEu0TmM7NtnRU5pHuDnc=,2,False
20,DK_AKRON_OH,UURWMEA120,"DK_AKRON_OH -> UJEWMEC040 ->(0.5, N/A)-> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.885,0.64,0.0,1:evcVIhGg319S7CMefALwt2a9qvA=,3,False
21,DK_AMARILLO_TX,UURWMEA110,"DK_AMARILLO_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",6.885,3.99,0.0,1:LfjlnEnEVTMDLNMhiu3neFNrp/4=,2,False
22,DK_AMARILLO_TX,UURWMEA120,"DK_AMARILLO_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.385,3.99,0.0,1:X/ua2kHe5b2pZaE1ptlFtEEclWA=,2,False
23,DK_ANDOVER_MA,UURWMEA110,"DK_ANDOVER_MA -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 -> UURWMEA110",5.0,2.98,0.0,1:jc2WfUtP7EpbPmis/xQ572VIMDc=,2,False
24,DK_ANDOVER_MA,UURWMEA120,"DK_ANDOVER_MA -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",5.5,2.98,0.0,1:JejxwXLqWtSUK+szz0B/UT/FZzI=,2,False
25,DK_ANNAPOLS_MD,UURWMEA110,DK_ANNAPOLS_MD -> UJEWMEA040 -> UURWMEA110,0.0,0.0,0.0,1:0JOjddCyc4POVNw4/40dVfm4XAI=,3,False
26,DK_ANNAPOLS_MD,UURWMEA120,"DK_ANNAPOLS_MD -> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",0.5,0.0,0.0,1:0HsPoFSbuKumpnCVTphkOk3xaEo=,5,False
27,DK_ARLINGTN_TX,UURWMEA110,"DK_ARLINGTN_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",6.885,3.99,0.0,1:d7v4EraAUtXzY4KYPk/0bPg+RbQ=,1,False
28,DK_ARLINGTN_TX,UURWMEA120,"DK_ARLINGTN_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.385,3.99,0.0,1:52rUzJuWkjL6HZOt88oOZ0gm128=,3,False
29,DK_ARLNGTNG_VA,UURWMEA110,DK_ARLNGTNG_VA -> UJEWMEA040 -> UURWMEA110,0.0,0.0,0.0,1:IrhGgkCksuP3R7ZWG0ZACfbbICA=,2,False
30,DK_ARLNGTNG_VA,UURWMEA120,"DK_ARLNGTNG_VA -> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",0.5,0.0,0.0,1:BAi4nIfjM0B63CyycgNWSBE8Lrw=,3,False
31,DK_ASHBURN_VA,UURWMEA110,"DK_ASHBURN_VA -> UJEWBEL030 ->(0.5, N/A)-> UJPWBEL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",1.73,0.18,0.0,1:+5Zjo+sFXW2fHb0M/eWhP/82/BY=,135,True
32,DK_ASHBURN_VA,UURWMEA110,"DK_ASHBURN_VA -> UJEWPNT040 ->(0.5, N/A)-> UJEWPNT030 ->(0.5, N/A)-> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",2.23,0.18,0.5,1:+UMIHJznoFvGWs29d97pgjcTrgQ=,71,True
33,DK_ASHBURN_VA,UURWMEA120,"DK_ASHBURN_VA -> UJEWBEL030 ->(0.5, N/A)-> UJPWBEL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",1.23,0.18,0.0,1:+XkrmviWQ2htenDEIBvDaD1+6TQ=,9,True
34,DK_ASHBURN_VA,UURWMEA120,"DK_ASHBURN_VA -> UJEWPNT040 ->(0.5, N/A)-> UJEWPNT030 ->(0.5, N/A)-> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",1.73,0.18,0.5,1:5mmluKQn3fMbGUwnq/OUNU40r7A=,8,True
35,DK_ASHEVILL_NC,UURWMEA110,"DK_ASHEVILL_NC -> UJEWGOR040 ->(0.5, N/A)-> UJEWGOR030 ->(4.0, 1.72)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",6.23,1.9,0.0,1:s7GozA7v4ZVC8np7JkJBYIJGb9c=,2,False
36,DK_ASHEVILL_NC,UURWMEA120,"DK_ASHEVILL_NC -> UJEWGOR040 ->(0.5, N/A)-> UJEWGOR030 ->(4.0, 1.72)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",5.73,1.9,0.0,1:R8lXcXncuLlma4tXM2UwvAhUrMQ=,3,False
37,DK_ATLANTA_GA,UURWMEA110,"DK_ATLANTA_GA -> UJEWGOR040 ->(0.5, N/A)-> UJEWGOR030 ->(4.0, 1.72)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",6.23,1.9,0.0,1:4foMzRtO36MYfr0bGj6af8dbw+4=,2,False
38,DK_ATLANTA_GA,UURWMEA120,"DK_ATLANTA_GA -> UJEWGOR040 ->(0.5, N/A)-> UJEWGOR030 ->(4.0, 1.72)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",5.73,1.9,0.0,1:47t7vA2uk3ox/LvlPmaatO2r5c8=,3,False
39,DK_AUSTIN_TX,UURWMEA110,"DK_AUSTIN_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",6.885,3.99,0.0,1:3lpyno3EsyyNRhXAKZYYlfMoH60=,2,False
40,DK_AUSTIN_TX,UURWMEA120,"DK_AUSTIN_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.385,3.99,0.0,1:8JGcq3IKK+RAp+JDN40XIdSP1O0=,3,False
41,DK_BAEGRNLW_NY,UURWMEA110,"DK_BAEGRNLW_NY -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 -> UURWMEA110",2.0,0.82,0.0,1:IcV4xJ0DWQDxdIoSrT3YNNC4GIA=,1,False
42,DK_BAEGRNLW_NY,UURWMEA120,"DK_BAEGRNLW_NY -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",2.5,0.82,0.0,1:4zmBoxI3P5atmYS1sbrsy5ZU0Do=,3,False
43,DK_BLOOMFLD_CT,UURWMEA110,"DK_BLOOMFLD_CT -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 -> UURWMEA110",2.0,0.82,0.0,1:glf/OGzV/ZYAZXGsBW3UF2nCqks=,1,False
44,DK_BLOOMFLD_CT,UURWMEA120,"DK_BLOOMFLD_CT -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",2.5,0.82,0.0,1:A1dzizrYpGJ9/HeMab+EO6g6Bjs=,3,False
45,DK_CAMBRIDG_MA,UURWMEA110,"DK_CAMBRIDG_MA -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",2.885,0.64,0.0,1:7GInO/cCJQ8ZQIuo0wGez//EVaw=,2,False
46,DK_CAMBRIDG_MA,UURWMEA120,"DK_CAMBRIDG_MA -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.385,0.64,0.0,1:/cZXvLaWlOykjMaRd7cSsYomhd0=,3,False
47,DK_CAMDEN_AR,UURWMEA110,"DK_CAMDEN_AR -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",6.885,3.99,0.0,1:EQSECLyjpnTCk7Nw5Yj6/0TyyjI=,2,False
48,DK_CAMDEN_AR,UURWMEA120,"DK_CAMDEN_AR -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.385,3.99,0.0,1:f87JFb+N0XLpzFQBtE7gYDa/MHA=,3,False
49,DK_CAMDEN_NJ,UURWMEA110,"DK_CAMDEN_NJ -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 -> UURWMEA110",2.0,0.82,0.0,1:BIR2QvbhqVQYVwN4auQYhF6rxWM=,2,False
50,DK_CAMDEN_NJ,UURWMEA120,"DK_CAMDEN_NJ -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",2.5,0.82,0.0,1:NzhNzvJUr109tOYq3uzI5ACjpgE=,3,False
51,DK_CCKYSVLL_MD,UURWMEA110,DK_CCKYSVLL_MD -> UJEWMEA040 -> UURWMEA110,0.0,0.0,0.0,1:ejD8rvX2OYJ0MEqWvj+7gyUBNJg=,1,False
52,DK_CCKYSVLL_MD,UURWMEA120,"DK_CCKYSVLL_MD -> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",0.5,0.0,0.0,1:HmMrx6hsruWOF3w/WC/KgwG1/L8=,2,False
53,DK_CEDRRPDS_IA,UURWMEA110,"DK_CEDRRPDS_IA -> UJEWWPA040 ->(0.5, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",3.385,0.64,0.0,1:BbhA71dgXwgoNDP+G+I8TCLnyFU=,2,False
54,DK_CEDRRPDS_IA,UURWMEA120,"DK_CEDRRPDS_IA -> UJEWWPA040 ->(0.5, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.885,0.64,0.0,1:OSZMco9ads0SPpK24wLYebbRQB0=,2,False
55,DK_CHANTLLY_VA,UURWMEA110,DK_CHANTLLY_VA -> UJEWMEA040 -> UURWMEA110,0.0,0.0,0.0,1:YVcFKQzdoeJ++Wz/xyZrhIBlD0Y=,2,False
56,DK_CHANTLLY_VA,UURWMEA120,"DK_CHANTLLY_VA -> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",0.5,0.0,0.0,1:77rKN75DOzZrpAvUxoIzE+vPU0o=,3,False
57,DK_CHICOPEE_MA,UURWMEA110,"DK_CHICOPEE_MA -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 -> UURWMEA110",5.0,2.98,0.0,1:OvpHdGgJ+2ToSbNVmeGTflkxstE=,2,False
58,DK_CHICOPEE_MA,UURWMEA120,"DK_CHICOPEE_MA -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",5.5,2.98,0.0,1:Sdr2d6gZkG8SekP7KvExQXA1mKI=,3,False
59,DK_CINCINNT_OH,UURWMEA110,"DK_CINCINNT_OH -> UJEWKNO030 ->(0.5, N/A)-> UJEWKNO040 ->(2.0, 1.36)-> UJEWWPA040 ->(0.5, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",5.885,2.0,0.0,1:Bmqds0veGwKR+Jh5xL+0NeN6FkQ=,4,False
60,DK_CINCINNT_OH,UURWMEA120,"DK_CINCINNT_OH -> UJEWKNO030 ->(0.5, N/A)-> UJEWKNO040 ->(2.0, 1.36)-> UJEWWPA040 ->(0.5, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",6.385,2.0,0.0,1:BovYRoOUnkdTJoAsitK/sOYem+U=,5,False
61,DK_CLAYKSRN_DE,UURWMEA110,"DK_CLAYKSRN_DE -> UJEEWBM030 ->(0.5, N/A)-> UJPEWBM010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",1.73,0.18,0.0,1:1Ww/Nx5Bs2ou09NYV3Pv7Kl3+PE=,3,False
62,DK_CLAYKSRN_DE,UURWMEA120,"DK_CLAYKSRN_DE -> UJEEWBM030 ->(0.5, N/A)-> UJPEWBM010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",1.23,0.18,0.0,1:KE1vSvWs5vnt1neRiOJkqpA0YWY=,4,False
63,DK_CLEARWTR_FL,UURWMEA110,"DK_CLEARWTR_FL -> UJEWGOR040 ->(0.5, N/A)-> UJEWGOR030 ->(4.0, 1.72)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",6.23,1.9,0.0,1:3cE4T5eJNpVWWH6noEAxe8K1GEg=,2,False
64,DK_CLEARWTR_FL,UURWMEA120,"DK_CLEARWTR_FL -> UJEWGOR040 ->(0.5, N/A)-> UJEWGOR030 ->(4.0, 1.72)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",5.73,1.9,0.0,1:1l5/nj6JlhYQGD7jDE8lag9FSoE=,3,False
65,DK_CLEVELND_OH,UURWMEA110,"DK_CLEVELND_OH -> UJEWKNO030 ->(0.5, N/A)-> UJEWKNO040 ->(2.0, 1.36)-> UJEWWPA040 ->(0.5, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",5.885,2.0,0.0,1:krfEHLLMd61IR1HmezAOJnhi10w=,2,False
66,DK_CLEVELND_OH,UURWMEA120,"DK_CLEVELND_OH -> UJEWKNO030 ->(0.5, N/A)-> UJEWKNO040 ->(2.0, 1.36)-> UJEWWPA040 ->(0.5, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",6.385,2.0,0.0,1:Of4V7hC0pNNI3gUevYoFlQhmcmg=,2,False
67,DK_CLIFTON_NJ,UURWMEA110,"DK_CLIFTON_NJ -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",2.885,0.64,0.0,1:D50WTnn/eP4z+5YnGvCQ375j/U0=,2,False
68,DK_CLIFTON_NJ,UURWMEA120,"DK_CLIFTON_NJ -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.385,0.64,0.0,1:9B43dwRK0CNCoWCXALU6xONxSqk=,3,False
69,DK_COLUMBUS_OH,UURWMEA110,"DK_COLUMBUS_OH -> UJEWCOL030 ->(4.5, 2.55)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",6.885,3.19,0.0,1:pmB20EdRIkO30MqENEwhY3yvkzs=,3,True
70,DK_COLUMBUS_OH,UURWMEA110,"DK_COLUMBUS_OH -> UJEWCOL040 ->(0.5, N/A)-> UJEWCOL030 ->(4.5, 2.55)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",7.385,3.19,0.5,1:0RLbdKZ99i5EgH889TVXwGuZb0U=,3,True
71,DK_COLUMBUS_OH,UURWMEA120,"DK_COLUMBUS_OH -> UJEWCOL030 ->(4.5, 2.55)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.385,3.19,0.0,1:FJtQmQ8TGzQDoolzNTLuWrVOGEM=,5,True
72,DK_COLUMBUS_OH,UURWMEA120,"DK_COLUMBUS_OH -> UJEWCOL040 ->(0.5, N/A)-> UJEWCOL030 ->(4.5, 2.55)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.885,3.19,0.5,1:2CHWS7u28iukKGRUyD9lyCtUcxQ=,5,True
73,DK_CORAOPLS_PA,UURWMEA110,"DK_CORAOPLS_PA -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",2.885,0.64,0.0,1:/HjKUTPGxVsw11Zvq/RM90SRqpo=,2,False
74,DK_CORAOPLS_PA,UURWMEA120,"DK_CORAOPLS_PA -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.385,0.64,0.0,1:6RMcJUobgq/XfbeSRUJiRHYXh6c=,3,False
75,DK_CRANSTON_RI,UURWMEA110,"DK_CRANSTON_RI -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",2.885,0.64,0.0,1:0+ZdQzkDggYf5Hrj7Zl83vI91is=,2,False
76,DK_CRANSTON_RI,UURWMEA120,"DK_CRANSTON_RI -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.385,0.64,0.0,1:gC6A83lI1x7fsapCCgzsJyR8N38=,3,False
77,DK_CRESTVIW_FL,UURWMEA110,"DK_CRESTVIW_FL -> UJEWJKV030 ->(6.5, 3.0)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",8.23,3.18,0.0,1:1bMZRfXbmmh61sxUQnC3hr4txBw=,2,False
78,DK_CRESTVIW_FL,UURWMEA120,"DK_CRESTVIW_FL -> UJEWJKV030 ->(6.5, 3.0)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",7.73,3.18,0.0,1:4eroumiH44/lPEjvTlXfEzDU3RU=,3,False
79,DK_DALLAS_TX,UURWMEA110,"DK_DALLAS_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",6.885,3.99,0.0,1:A4Ful7EJe9IvZJrOGWLnINPu6S8=,2,False
80,DK_DALLAS_TX,UURWMEA120,"DK_DALLAS_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.385,3.99,0.0,1:5B2dl3Oz4FKYQaZK6vYSFBJBSkw=,3,False
81,DK_DCFBRCTR_NJ,UURWMEA110,"DK_DCFBRCTR_NJ -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 -> UURWMEA110",2.0,0.82,0.0,1:jMMXc3eu2nS4Z2IhU6mF32oONw8=,2,False
82,DK_DCFBRCTR_NJ,UURWMEA120,"DK_DCFBRCTR_NJ -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",2.5,0.82,0.0,1:E+Z55UOAhDLdsvgd0ZN1zaFiPcs=,3,False
83,DK_DCMAEAPW_CT,UURWMEA110,"DK_DCMAEAPW_CT -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 -> UURWMEA110",5.0,2.98,0.0,1:KhMCsiybRcUoM3Rw9+0FC8hQBkY=,2,False
84,DK_DCMAEAPW_CT,UURWMEA120,"DK_DCMAEAPW_CT -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",5.5,2.98,0.0,1:kxnO6SWkcCZQXMFUtkEr6cZy8Lg=,3,False
85,DK_DCMAPWNW_ME,UURWMEA110,"DK_DCMAPWNW_ME -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 -> UURWMEA110",2.0,0.82,0.0,1:ClcU1ecNBcJLwIC86jqu7EX55IU=,1,False
86,DK_DCMAPWNW_ME,UURWMEA120,"DK_DCMAPWNW_ME -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",2.5,0.82,0.0,1:A7lD4faK9KiI4KdDX1POzm7vFk0=,3,False
87,DK_DCMAVRGN_VT,UURWMEA110,"DK_DCMAVRGN_VT -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",2.885,0.64,0.0,1:3aSFXdcZUQcsbGBQI+ig27tYgbA=,2,False
88,DK_DCMAVRGN_VT,UURWMEA120,"DK_DCMAVRGN_VT -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.385,0.64,0.0,1:6H94vFj6le3Dgb2I0olOqJw9pxw=,3,False
89,DK_DDCSSQHN_PA,UURWMEA110,"DK_DDCSSQHN_PA -> UJEWNCL030 ->(0.5, N/A)-> UJEWNCL040 ->(3.0, 0.63)-> UJEWMEA040 -> UURWMEA110",3.5,0.63,0.0,1:0lrXDZzGQfIn9cQiN3l6zCzlfV8=,2,False
90,DK_DDCSSQHN_PA,UURWMEA120,"DK_DDCSSQHN_PA -> UJEWNCL030 ->(0.5, N/A)-> UJEWNCL040 ->(3.0, 0.63)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",4.0,0.63,0.0,1:B3lRHw7bybC8DK+9xDx7vsXbwf8=,2,False
91,DK_DECATUR_AL,UURWMEA110,"DK_DECATUR_AL -> UJEWGOR040 ->(0.5, N/A)-> UJEWGOR030 ->(4.0, 1.72)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",6.23,1.9,0.0,1:F/TZHd/5UFYE0Z+UiHTXkWfnnVw=,2,False
92,DK_DECATUR_AL,UURWMEA120,"DK_DECATUR_AL -> UJEWGOR040 ->(0.5, N/A)-> UJEWGOR030 ->(4.0, 1.72)-> UJEWBRA030 ->(0.5, N/A)-> UJPWBRA010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",5.73,1.9,0.0,1:3aEEP9SR6+33CTAqRZI/Oo4/QYE=,3,False
93,DK_EARLENWS_NJ,UURWMEA110,"DK_EARLENWS_NJ -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 -> UURWMEA110",5.0,2.98,0.0,1:XhinrYyXiBDgZOkWxCw6ve7CupE=,2,False
94,DK_EARLENWS_NJ,UURWMEA120,"DK_EARLENWS_NJ -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",5.5,2.98,0.0,1:8pgYv722v7FW7PNT3ylf+3CjDFs=,3,False
95,DK_EAURORA_NY,UURWMEA110,"DK_EAURORA_NY -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",2.885,0.64,0.0,1:ANey5epTKDk96RUgQqxOmM/3rbg=,2,False
96,DK_EAURORA_NY,UURWMEA120,"DK_EAURORA_NY -> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.385,0.64,0.0,1:/WteHBPclXYugxxdx6GM63IW1YQ=,3,False
97,DK_EGLINAFB_FL,UURWMEA110,"DK_EGLINAFB_FL -> UJEWEGL030 ->(0.5, N/A)-> UJPWEGL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",1.73,0.18,0.0,1:2Biw49peyLF58D9zQF1QXPHsgfc=,2,False
98,DK_EGLINAFB_FL,UURWMEA120,"DK_EGLINAFB_FL -> UJEWEGL030 ->(0.5, N/A)-> UJPWEGL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",1.23,0.18,0.0,1:RIUB8rpmspLpCdeg8yAQqlYl11M=,3,False
99,DK_EMTJBNFC_IN,UURWMEA110,"DK_EMTJBNFC_IN -> UJEWIND040 ->(0.5, N/A)-> UJEWIND030 ->(N/A, 0.84)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",3.385,1.48,0.0,1:PJsQTHISIZj80b6cLjAbaBd+iRE=,1,False
