,Source,Destination,Flow_Path,Total_Measured_Latency_ms,Total_Geo_Latency_ms,Delta_Latency_ms,Representative_Flow_ID,Occurrence_Count,Multiple_Paths
728,UURWMEA120,DK_STAGSTNW_FL,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 -> [UJP_MESH] -> UJPWBRA010 ->(0.38, N/A)-> UJEWBRA030 ->(6.5, 3.0)-> UJEWJKV030 -> DK_STAGSTNW_FL",7.375,3.18,0.0,1:D73Wp9qq/YTrAsHQeZcbIq+crG0=,3,False
729,UURWMEA120,DK_STELNGHT_MI,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWWPA010 ->(0.34, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJEWWPA040 -> DK_STELNGHT_MI",3.835,0.64,0.0,1:MraEm23ZD5TNJybnALiMnn2jmc8=,3,False
730,UURWMEA120,DK_STERLING_VA,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 ->(0.52, N/A)-> UJEWPNT030 -> DK_STERLING_VA",1.02,0.18,0.0,1:QlgxTpkbEWopCgI1XxDwr8AwDq8=,3,False
731,UURWMEA120,DK_STOCKTON_CA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWBEA010 ->(0.34, N/A)-> UJEWBEA030 ->(0.5, N/A)-> UJEWBEA040 -> DK_STOCKTON_CA",3.8449999999999998,0.64,0.0,1:3uAxJl1Ntf4uRLbvaPDJkpYXZRg=,3,False
732,UURWMEA120,DK_STPRSBG_FL,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 -> [UJP_MESH] -> UJPWBRA010 ->(0.38, N/A)-> UJEWBRA030 ->(6.5, 3.0)-> UJEWJKV030 -> DK_STPRSBG_FL",7.375,3.18,0.0,1:4BXic4gCNLW1nyLT944A5nDu+0Y=,3,False
733,UURWMEA120,DK_STRLNGGHT_MI,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWWPA010 ->(0.34, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJEWWPA040 -> DK_STRLNGGHT_MI",3.835,0.64,0.0,1:+cByZpdJu5iT8Y3w6MGud9bx8Wo=,3,False
734,UURWMEA120,DK_STRLNGHT_MI,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWWPA010 ->(0.34, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJEWWPA040 -> DK_STRLNGHT_MI",3.835,0.64,0.0,1:aCW1aBiLbHok4xYQ8jsx50R5VNU=,3,False
735,UURWMEA120,DK_SUGARGRV_WV,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 ->(1.66, 0.78)-> UJEWCHT030 -> DK_SUGARGRV_WV",2.1550000000000002,0.96,0.0,1:20fF+kcDuCdI6S3bXbsN+2ZvTzY=,5,False
736,UURWMEA120,DK_SUNNYVAL_CA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWBEA010 ->(0.34, N/A)-> UJEWBEA030 ->(0.5, N/A)-> UJEWBEA040 -> DK_SUNNYVAL_CA",3.8449999999999998,0.64,0.0,1:BMp/MsOPveUEzifI7ut+NWRQfBM=,3,False
737,UURWMEA120,DK_SYRACUSE_NY,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(8.0, 2.26)-> UJEWHFI040 -> DK_SYRACUSE_NY",8.5,2.26,0.0,1:+ZuHGHoniAeLM8CmbB3Yk2RIegE=,3,False
